Structure [idcode]	Molecule Name	_SMILES	_CXSMILES_Data	Stereo Centers	cLogP	H-Acceptors	H-Donors	Stereo Centers 2
figXb@LTuUoUI@DYHhhd]LhdldhdRgAAct]RuSP@UMLd@@ !BXAiSFFAe?`@lFG?~KAa`F`C~@k\Bb@C~@h`BmpC~@OxBmpC~@k\Bm|wO`CFDJz[_	PV-002827327314	CC1=NC2=C(NC(C(=O)NC3=CC=C(OCC4=NNC=N4)C=C3)=C2)S1		0	1.1386	8	3	1
fa{h`@D\|ghIYEDhhhhhdddkmQm{KZ}Z`f@j`JHR@@ !B?[\Bmw?~@O{}m?vHKF\lF@Jw_?y??`JHXAjYwvAe?[_}bOvH?XbDJxPk@hbYwp	PV-002905097591	COC1=CC=C2N=CC=CC2=C1C(=O)NC1=CN=C2CNCCN12		0	1.4512	7	2	2
fasHa@IVrTa`QBiCHhhdeeihhcDhpUVpPQTuUMTH@@ !B@k_}mpC~_?xBmpJw?[\@?`C~@k\BbOvH@OxBmpJHm?vH@`JH`D{MtJ[@aES_i`	Z3607546275	COC1=CC(F)=C(NC(=O)N(CC2=NC=CN2C)C(C)C)C=C1Cl		0	2.3618	6	1	3
fj}qb@LTUJJPAFRJJ[JERHjYDi[soUKTuUSUT@@ !BFa}??fAeYuMeGuLX?g}SFHc}m?w~_yn[iIlFfzR[?g~H?[_}?g?~_p	Z5579724691	CCOC(=O)C12CC(NC(=O)C3=C(N)SC(CC)=N3)(C1)C2		0	0.9475	6	2	3
ek`ZLH@AMCLceFi`ICHhdhdhcDemEieDjFICHdmcjViVjjjfiji@@@ !BmpK~@K_}mpJw@k_}?`@_YQ|ZmpJH@eLX?`BH?W?~b@JH@hc}JaA@jTBVm@\jDBhPXvb`NhsXw`@	PV-009140226431	CN1C=C2C(C(=O)N3CCC(C)(NC(=O)CC4=CN=CO4)CC3)=CC(F)=CC2=N1		0	1.5025	8	1	2
fcib@JLmzlmEAHYEHldhilhheElh\TRwMU{jjifjjVjjj`@@ !BiIn[fzR[iJRdfzRd?g|EHK_}bOu_^jRdbOvdiDz?tMJ[iJRdpIffpER{iJSRsxANfzRdiJRd	PV-006232891803	CC1=NN(CC(=O)N2CC(F)(CNC(=O)CC3CC4(CCC4)C3)C2)C(=O)N1C		0	0.6696	8	1	3
fmoIa@NZ}Eei`BJAFRJIRjKJZIYQIYDhkTT}GTsUTtu@AUH@@ !B^e|hWOMG@FDx|s?Vbf?sQ?MGNOLx|tz?tLugT?y?Gqh_YUMg_?{}m?vH_?y??ovH_?{}mp	PV-007806057457	COC1=CC=C(C2=NNC(C(=O)N3CC(NC(=O)C4=CSCS4)C3)=C2)C=C1		0	1.197	7	2	1
fj}Pc@IAxHFHPHUDYEEDiEDY\hhsSoYKA@mEUUQP@@ !B?[\Bmw?~@O{}m?vw?`C~_pC~@k]??g?~iJRdfzR[iIlEWrAzKg|pkP	PV-005741196824	CC1=CC(Cl)=C(S(=O)(=O)N2CC(N(C)C3CC3)C2)C(Br)=C1		0	2.7553	4	0	2
fdei@@DTMYpDfUie^cAJ]yjjjffj`@@ !BbOs~@Hc}bOrH?Hc}fzRdiHc}iJRH?Tz?tMK@fUR{tl?Rsp	Z5763744632	CCN1C=NC(CN2CC(=O)NC3(CCC3)C2)=N1		0	-0.7026	6	1	2
fncIa@FJsVVo@bDAFQQIIJJXjZJHdifmMULuMKTp@@ !BYrp_Y_x@Tq`_Fg?~YVC}m}~fUHPBmw?~YVAeXERDwz[MtKlkosDBbK\Bs|t	Z4125216564	CC(=O)NC1=C(C(=O)NCC(=O)C2=CN(C)N=C2C)C=C(Cl)S1		0	1.0069	7	2	2
fmopP@JFrADZyEDhdmDdehXeMiIS`u[M[TD@PPsSUAP@@ !B@hc}b@C~_?xBb@Jw_?x@?`C~@k\Bb@Jw@Ox@?ovw@ha??`Jw`CGMsz[_aBo_fSF?Ae~`QP	Z4383805108	CCOC(=O)C1=CC(NC(=O)C2=NOC(C3CC3)=C2C)=C2C=CC=CC2=N1		0	3.4694	7	1	1
fmwPR@M^UflpAFRJIYQRqZQFZIJXhJPutsUMUUMMMR@@ !B@hc_ibnD`Dxq`J[@mpJI`J?r?`Bw_[\B?g~w@`JHmpI}mwvHT?xBb@C~_X`Bb@JH@Oy}b@	PV-004947452664	CC1=C(C2CC2)C(C(=O)N(C)CC(C)(C)NC(=O)C2=CC=CC(=O)O2)=CS1		0	2.3869	6	1	3
fj}hB@LZ\Dh@aJYyWoeWqQQhiidHH`@n@@@ !B`DzYw}KO@hbH?PC~?XaNopJH@h`@?ovH@k_}mpC~@k\BmpC~@Ox@?`	PV-002502521596	CC1=CSC(C2=CC=CC(NC3=CC(C#N)=CN=N3)=C2)=N1		0	2.6002	5	1	1
fchb@LLMu^d`BLdTVbRTTIbbRJbVJJlUj}trDCEAAERpP@@ !Bm?vDJz[_s}KMssF@YuLBm|?Rs}K}mpC~YuLq`@Jw?[\@?g?~@k\Bm?vw@OxBmx@qs\~fwxPk	Z7599451040	COC1=CC(N2C=CN=C2)=CC=C1NC(=O)C1=CSC(C2=CC=CC(C)=N2)=N1		0	2.5568	7	1	2
fj}YB@LTMyNY@BLdTTQTVfRRTISpTyjVijViZh@@ !BtLuN`J[_UHS@ikmTXFV{UHQTim~{UFAenrnfwz[_nrmSY?y?KF]??`	Z6058651496	CCCC1=NC=C(NC(=O)C2=CN3C(C)=NN=C3C=N2)S1		0	0.8794	7	1	1
fci@@IVsWXLdTTRLrTtrVTRRpeF\gHytE@@QUT@Ea@@@ !B?X`@?`JH_?{~@Oy??Xc}b@JH_?{}bOvH@ha??ovH@OxBb@JH@OxBb@C~?X`Bb@JH?Xc}bOvH	PV-006555765873	CC(C)OC1=CC=C2C=CC(N3CCN(C4=CC(C#N)=CC=N4)CC3)=NC2=C1		0	3.4823	6	0	2
fbuHc@JJ\GfPRBICDadTabTJTTRJxHLZiij@`j@@@ !BpIffpAWopIfDUMKObOv@Sovw?[\Bm?vw@OxBmw?~@k\@?`Jw@k\	Z4210180177	CC1=NC(CO)=NC=C1NCC1=CON=C1C(F)(F)F		0	0.1642	6	2	2
fnkh`@DTxKPGYEDhhhddlbdeKQkIsUkUKUUPATa@@@ !BUHS@fVU`Fa|_FbpXTv]`Y_x@YuMSFBqg?g}gKF]Sf]~DJxPkf]?~_rqgXFT	Z6845283173	CCN1C(C(=O)NC2=NC3=CC4=C(C=C3N2)CCC4)=CN=C1O		0	2.2178	7	3	3
fcwPQ@MNEYoPRDYAIfUuvukvvf\rV@`jijjijh`@@ !B@k_}mpC~@k]??`Jw@Oy??`Jw?X`Bm?vw_?xBm?vw?[^w@hc}?[_}m?vwV`M??ovwmpJH?_vw	Z4243593935	COCC1=CC(CNC(=O)NCC2(F)CC(C(=O)OC(C)(C)C)C2)=CC=C1F		0	2.2443	6	2	1
fewx@@@XtYvRyHhdiDuDlheeDjL]{IQs@`jjeiZjbh@@ !B?X`@?`JH_?xBb@C~_?{~_?x@@Ox@?bpXKF]`YV@ZFEM`Foy?KF]`YQh_Sk?PtlBYUKl	Z5104341283	CC(C)(C)C1=NC=C(CN2C=C(C3=CN(C4CCCC4)N=C3)N=N2)C=N1		0	1.9475	7	0	1
fjuP`@D\@[HhddeDiYDleZZjjijjj@@ !BYQ|XTw?~Fa}gTvT_YQ}gTw?~Fa}??huP?[_}mxc}mpK}mxc}?[^H?P	Z4328827896	CCCC(C)(CCC)C(=O)N1CCCCCNC(=O)CC1		0	3.7139	4	1	3
fcHb@LDuyTPAFRJIKIPjKJZJIHpeF\]{hzYjfji`HJi`@@ !BTqaSY?x@GvT_Fa|ZTqaeXG?~wzYTaFU`XAieXFU`hg@@GbLhhgA?XRLh@AxcJG}a@Ax@GfD@	PV-009627975410	CC1=C(C(=O)NC2CN(C(=O)C3=CC=CC=C3CC(C)C)C2)N=C2SC=CN12		0	3.3733	6	1	1
ff}h``DJlxII@bLrAYBladTRrRfRbTQdISpYijZfjji@@ !BFBq`Y_x@KAa`Fai`Ff@ZXBnDpJXZXAi`Tqa`FbpX?`@XTvU`YVA`Fa}e	Z4492849087	CN1N=C(C(F)(F)F)N=C1CNC(=O)CCC1=CC(Cl)=NO1		0	0.7026	7	1	1
fewq`@GQZAUdfYWu[UfUrLEHkQsZB@jZjfZhh@@ !B@OxlFBqgXFVYpF@ZaERDUIg@aERYpIg@aEP_Fig@f\BYpL?RUHQN`L?M_XagKF\ls|t	Z5045423395	O=C(COC1=CC=C2C(=O)CCC2=C1)NCCN1C=NC2=C1CCCC2		0	1.8398	6	1	1
fjmHP@DXYHAlerJIJIQJSPuRVgQZjZjjjYdBTX@ !BwydkaFT_FfC_fULXXAk_fRpX_?{~@Ig@im?_f_y?_?{_fZ[_LJv{Jp	PV-003502402026	CC(C)N1N=CC=C1NC(=O)NC[C@]1(O)C[C@H](C(=O)O)C1		0	-0.5146	8	4	3
fns`P@A@QPrSKJmjjkhiAcUkUMUUUP@`@@ !B`CZJd@qG\sbEWpB^\sbhhtioSqHpDbBEv\CFpBQdCCasNBQd?Xc|bOrH?X`	PV-003030196369	CCOC1=NOC(C(=O)OCC2CCC3=CC=CC=C3CC2)=C1		0	3.5814	5	0	2
fnsqb@LFcAFPAFRRESQHiJJKSJuGMVkTAAUKUQP@@ !BLYc~_w?~@O{}mpJH@k\@?ovH@OxBmpC~@h`BbHANs]BfpER{aER{JuR{UKl	Z3364163891	CNS(=O)(=O)C1=CC=C(NCC2=CON=C2C2CCC2)C=C1C		0	2.1111	6	2	2
ek`RL@@DEHi`FBdfYeVWW~zUuMGH`dmcfjfjjfYjnij@@@ !Bs|tqov\lg|WpOQ}e?`@}}}j_Tq`_FhQTvi|}}yg@f\CpOXQTL[|_IQaSxkA[zzAEWB`FWpY_hDT	PV-006951726074	N#CC1(C(=O)N2CCCN(C(=O)C3=C4C=CC=CC4=NO3)CCC2)CCCCC1		0	2.568	7	0	3
fhyPc@JRExD`bPqHYEHXdmEDUpQgV]URuUUU@@@ !BFa|_YV@ZFa}`YUMg?g|lYqaSXAk~_wf[iIm`L_y?bOt	Z4174970521	COC12CC(C1)N(C1=NC(C(F)(F)F)=CO1)C2		0	1.5581	4	0	2
fnsi`@DR}FhFZrJJIHiSQIQIYg@iKUjjjYijVj@@ !BbOw~_x`BbOvw?Xc}b@Jw?[_}mpK~@K_}mpK~_{_}m?t_Foy??g}SYq}e_?x	Z3673133432	CC1=NN2C=C(C(=O)NCCN3CCOCC3=O)C=C(C)C2=N1		0	-0.8804	8	1	3
fegPa@IILLD`RPrJJKKJJKRIFHiLxGL\pPETuUUUQP@@ !B_?{}bOvw@ha??g?~?[_}m?vw_?xBm?vH?[\Bmwi_WpWIvpJwWpT@?ovw?[_}m?vw@k\	Z5520089525	COCCC12CC(C(=O)N(CCN(C)C)CC3=CC=C(F)C(F)=C3)(C1)C2		0	2.1534	4	0	3
fewha@J\BfiO@dDRBS\krnvrrkNFlwhyuST@DtAARB@@ !BLXB@ScF@aERw@lwPil@Bb@C~?X`Bb@JH?X`BbOvH@OxBbOvH@OxBbER{@h`@?mCRpId	PV-002968761673	O=C(NC1=NC=CC2=C1NC=C2)C1=CC=C(C2=NN=C(C(F)F)O2)C=C1		0	2.6093	7	2	1
figIA@MNJvpI@T`drnu{[JwMFJufkQp@UUM@DUDH@@ !BJEqa@GB]JEphWGB]JEq\Ura\Hr`cJJ[@nuQ`Fj[@nuQ`Fj[@ilASFF@ZKAa??ox@	PV-006621165823	CN1N=CC2=CC=C(NC(=O)N3CC(F)(C4=CC=C(F)C=C4)C3)C=C21		0	2.7209	5	1	2
fmgia@FZBTZdmAD\dLbbbTUfbRrfRfTXKpXBHfjjZfjH@@ !B@OxBmpJH@O{}mpC~@k\BbOvw@k]??ovw?Xa??g?~?Xa??ovH?[_}mw?~?Xc}m?vw@k]??`	PV-009109271853	CN(C)CC(=O)NCC(=O)N1CCN(C(=O)CC2=C(Cl)C=NC=C2F)CC1		0	-0.4188	8	1	2
fa{Y@@DDiKQPYEDhhdhlUEEeiJuZIV}ZijfZhHAh@@ !BYuOOtdz?LXBH?[lkmpJDUIg_tl~fpL?Ms]C}mpJHbOw}m?vH@Oy}mpJH@h`@?`	PV-007657441761	CC1=NC(C2=CC=CC=C2)=CN1NC(=O)C1=CC(C2CNC2)=NN1		0	1.1924	7	3	2
flePa@GAqDD`bPR[YV~Y|TgAj`@ijZH@@ !B_?{~@G?~_[\Bmw?~_[]}mw?~@k]}m{|qtl~YwrnDnrlkaM~Y	Z6474387494	COCC1=C(C2=CC=C(OC(F)F)C=C2C)C=NN1		0	1.6103	4	1	2
fi{P``K]LtDaJPUHZdLbbRfTbcbbTVahqIZ}`@jijBHbH@@ !B?[\Bmw?~?[_}mw?~@k_}mpJwb@Jw?PJw_?{}m?vH_?xBmw?~?[_}bOvw_?xBm?vw	PV-009691115486	COC1=NC=CC2=C1CCCN2C(=O)C1=CC=C(F)C=C1C(F)(F)F		0	3.7655	4	0	1
fncpS@LTTYqZ`BNR@iCIEEMIjihddh\TCFfZjffjZd@@ !BKF\_YUMg@O{~_v\l?`C~_pC~YrqN`MCRYrp_Y_x@Tq`_Fg?~YVC}m?vH_?x	Z4474297990	COC(=O)C1=C(C)C=C(C(=O)NCC2=NN=C(C(C)(F)F)S2)O1		0	0.9723	7	1	1
fjci@@DRM[pLbbTarRTRfRIS`oArUjjjjejjh@@ !BH@YzHB`c@Axx}HPkJ{lknrn{Fa|ZGqh_Tv]`YRqg?g~H@hc}bOvH@`	Z4230829525	O=C1NCCC12CC(NCCN1N=NC3=C1CCCC3)C2		0	-0.0951	6	2	1
fj}p`@DAJAVQQIRIIJHiHz|[t\mUUUAAEP@@ !B@OxBmpJH?[\BbOuw_?yyoPJHoc{}mquG@O{}bOuw@h`BbOvw?X`Bb@	Z6786584107	CC12CCC(NC(=O)CCC3=CC=C(N)N=C3)(CC1)CO2		0	1.2433	5	2	1
flePc@GIEHDPpHlDYEEEECeheeQg`tsSMSUr@@ !BFfASFF@Z_?xlFOx@FEO}m?vHtMI??aaSXAk~_rqgXFTZGqh_	PV-003298647850	COC(=O)C1=CSC(C=CC2=NC(C#N)=CS2)=C1Cl		0	2.9719	4	0	3
fasHA@JZCdD`bPrJSSIPiJIKJJBeEMT@ET@EU@@@ !BbOvH?PJH?[_}b@C~@h`Bb@C~?Xc}bG?~_?{}bOvw_?y??ovw_?{}m?vHmpJH?P	Z3505729408	CC(C)N(C)C1=CC=C(CNCC2=CC=CC(C(C)(F)F)=N2)C=N1		0	2.4621	4	1	3
fcY`@LNSWlpHCdTRbdTbmTtRrbRtZsbufmjjjjiiZZZj@@ !BT?y}mwvH@k]??`JHmwvH@`Jw_Xbw__y?_X`BbGvH@ha??eMgTq`_Fa}eYrp_Y_x@Tq`_Fg?~	Z5998134341	CN1C=CC(N2C=NC(C(=O)N3CCN(C(=O)OC(C)(C)C)C4(CC4)C3)=C2)=N1		0	2.3578	9	0	2
fewy@@DIrVk^`RYYU[mV[UejMV}GMjBBIjYYjJP@@ !BaEQ`YYg@im~DUA|Zim~YpIg@im|_FhQTnrm`YXQTim~fwsF@pIeSYvAetMHBbBqg?g|	PV-009367371428	O=C(NCCC1=CC2=NC=CN2C=C1)C1=CC=CC(CC2=NNN=N2)=C1		0	1.2179	8	2	1
fewX`@DBuzIPVRYYW]nUUfirRdyGMjB@i`@jj``@@ !B?X`BbG?~?Xc}bOvw_?y??g?~?[_}mpJw@O{}mw?~@k_}m?vw@k\Bm?vw?[\@?`^K[rh	Z7741501063	CN(C)C1=CC(C(=O)NC2=CN=C3CCNC(=O)C3=C2)=NN=C1C1CC1		0	0.7818	8	2	2
flep``L^SA@@cd`ZPbDYIIXhldihmIWhkPPERud@@ !B?g?~@@C~_?{}bOvw@ha??g?~?[_}mw?~tl~?L[lkpIfYw|BY	PV-008526377289	N#CC1=NSC=C1C1=C(F)C=C(F)C(S(N)(=O)=O)=C1		0	1.4497	5	1	3
ffsiC@D\uYNPXe@bHPdroRJriJRtEIZtmUURuMUH@@ !BPEgRKpQT@DxH?UQ{^rmT^pQTIc|DUBX?XFU{JrX?Ic|H?Wlk^rmYO}Ho	Z7486880676	O=C1C=C(CNC2(C3=NC(Br)=CS3)CNC2)N=C2SC=CN12		0	0.2879	6	2	2
fnsxb@BTyiIVj|BPRUY]n^VyxJsbmjjVZjjZjP@@ !BHu\cUrMWHu]?XXioAU}G|qy?UrMpgQh_XAi`Ff@ZFa~fpEMgXFTlYw?~?g|	Z3364649119	COC1(C2=CN=NN2C)CN(C(=O)C2=CN(CCCF)N=N2)C1		0	-1.0176	9	0	3
fbuPR@LN`aNPAFRRFJQIPuIPTmNVjjjjij@@ !BkVjH?PJH?[_}b@C~[rjiOwbK@h`BbEUoJa@@?`JH@h`BbOvH@Ox	Z2721351183	CC(C)C1(S(=O)(=O)N2CCN(CCC(=O)O)CC2)CC1		0	0.0513	6	1	2
fmwib@JL]yJjm@DYHhdicMDedhhUIbgA^CSMTp@USUU@@@ !BGqk~_uMgYV@_YW?~w`Cppovw@k]??ovw?Xa??g?~?Xa??g?~?Xc}muO~@hc}bK_}b@K}b@	Z4324925784	CN(CC1=NC=C(C(=O)NC2=C(C3CC3)SC=N2)C=N1)C(=O)OC(C)(C)C		0	2.4841	8	1	1
fnsI@@L\lDFRJJYZYKIQIPxhZvRtsUUU@AM@@@ !Botzfw|wO?Xbw?]CM?X`qopJH_?{}bOvH_?{}bOvH@ha??ovH?Xa??`JH@Ox	Z5322316938	C=CC1=NC(CN2CCN(CC3=NC(C)=C(C)O3)CC2)=CC=C1		0	1.8467	5	0	3
fewi@`G^KWm`RDiATajPrJIJKRJqKJIIITYxMVcg@AUUMTmRcP@@ !BXAjfpHPkXAi`FhPkilBDJz[@wz[@fXPkpJXqopJwtLvfwvAenrnfwz[_nrmSY?y?KF\	PV-003975153231	FC1=CC(CC2=NC(C3=CN4N=CC=C4N=C3)=NO2)=CC(C(F)(F)F)=C1		0	2.1464	6	0	1
fi{a`@D@RWHheHhhTdmhmDV\lGtVjj`hHjjj@@@ !BEDPPUZe@ec}??a@jed@PJjd??Xc}mwbK^Hm??g?~jS?}mpC~ec}??iX?PI[}bOvH	Z3605485368	CCOC1=CC=C(C2(C(=O)NC3CCC(O)(C(C)C)CC3)CC2)C=C1		0	3.2304	4	2	3
fakia@L\djtDF@DLBLddNbRrfbRRRpiAbVjuSUMU@Dh@@@ !BilBYw}~fpIeeXBpXGqiSFOx@Ff@kaM~YFfA`FeLX?`@lFHQTf\BYpHQTaERYp@	PV-008949333227	C=CC1=CC=C2CN(C(=O)NC3=NN=C(NS(C)(=O)=O)S3)CC2=C1		0	1.537	8	2	2
ffcQ`@DXAENQQIQIJEJFQJRg^KUjfj@BjjH@@ !B@k\@?ovw@ha??hANs]A??j[@aES}m?vH_?y??ovH?[\kn}CMYrpBmsF?	Z6798457044	CC1(C2=CC=CC(CNC(=O)NC3=CCCC3)=C2)OCCO1		0	2.1747	5	2	2
fasPc@MAKTD`JPeHYEEDeEUDeeDdf\|F@`jjjjjb@@ !B?X`BbG?~?X`@?ovH_?x@?oy?_?y??ovw?Xa??g?~?Xa??ox@?g?~@Oy?mpJw?P	Z2973856750	COCC(COC)N1CCN(CC2=CC=C(C(F)F)C(F)=C2)CC1		0	1.9274	4	0	1
fdia`@D@XYIfYUWzUijijjjd@@ !BShCPtf\lFEMN`Ox@GvTXTtz@GqiSFAaSShA??dz@`CF?S`	Z4896543943	CC1=COC(C(=O)N(CCO)CCC(C)(C)C)=C1		0	2.4763	4	1	2
f`iI@@HBlxFRIQHqQJKACV]zejfjVX@@ !BYQ}gKG?~YuO~@EMgGqjYpKlkGqhlFA|Znro~@ELX	Z3484612857	CC1=NOC(C)=C1C1=CC=NC2=NC=CN12		0	0.8168	5	0	2
ffci@@DXihpDfVufYV]ISvPqZZhFHjJa@@ !BSk~H?[lkf]?Rs}~f?[__i`Jw_?z{J|wP?[\@?ovwmpJ?LPJH_?y??l?M	Z3513197035	CC1=CC=C(C)C(N2C=NC(=O)N2CC2=NC(C)=CN2C)=C1		0	0.7698	6	0	1
ek`\B@@DDa`EJelbbbbRbVTRctrbTdlL|\BVvZhJ`hjiiihX@@ !Bim~{JvAeim|_Fj[_aER{J{lkTv]`YVAeGqhlYxQT?g~DUHf?_|Fo}\^Lb[~Io?_]INnVO~vOPIX	PV-009476483069	CC1=CC(C(=O)N2CCC(C)(NC(=O)CC3=NOC=C3C)CC2)=C2OC=CC2=C1		0	2.9998	7	1	1
fkHP@DTYx@TmrJIQRIQIWZZJJZQVgAZMjZjjjfZfjZ@@ !BUrMoJiX?jTCkV{Cm?X`@?f}Upo^Io?CB@h`BbF}U@OziOwbK[uTWGDV_q{OA@G?AcL_A@G?A@Mx	PV-008148111803	CC1=COC(C(C)(C)C)=C1C(=O)NCC1(NC(=O)C2=NC=CN2C)CCOCC1		0	1.6126	8	2	1
figI@`NBlE`@alavPGHYHheECJhdddmIRPe^CdmSMUTmRuTt@@ !B@h`Bm?vH@Ox@?g?~@h`Bb@Jw@O{}bOvHot{RtIg@nuRw@ox@?`Bw@k\BmpK}mpJH	Z4458822447	O=C1C2=C(CCCS2)N=CN1CC1=CN2C=CC(C(F)(F)F)=CC2=N1		0	1.5173	5	0	2
fakIa@CQjuVn`bNQFQQQJIFFIJYJI``iKV@bJZjejR`@@ !B@k_}mpC~@k]??`Jw?[\@?g?~@O{}m?vH_?xBbOvH?Xa??`JH?Xc}b@JH_?xBb@	PV-007400235192	NC1=NC2=C(CCN(C(=O)CC3=C(Cl)C=C(O)C=C3Cl)C2)C(=O)N1		0	1.2778	7	3	3
fegQQ@LDeXOQ`BBaBTs\v{}r{^FF\VmMMMUSMLuT@@ !B`DzYw}KO@hcOsXc}?X`@?f\lL[|Bb@JHL[|@?aaStMHqoxPkm?wMsz[_J{lZG}~fJ{l	Z4007268597	COC(=O)C1=CC(C(=O)OCC(=O)C2=CN=C(N3CCCCC3)S2)=CS1		0	2.8526	7	0	2
fewx`@JLxkVZ`QdTRfRRbVRbaRtxHujmGMjZZejiijj`@@ !B@hc}b@C~_?xlFBqgXFU`Fh`BbOw~@Hc}b@JH@hc}b@JH?_vwtLuN`ERDpJZ@LR@FNj@	Z5362539034	COC(=O)C1=NN2C(NCC3=NN(C4CC4)C=C3)=CC(C(C)C)=NC2=N1		0	0.6534	9	1	1
fncq``LDMiNPA@iBT`jPrQQSZQQiJIKSELeifjfjjjj@@ !BzrS]}x?med@?enJOA{Sbc{Cbc~uoUYY@A{PGm@^t?[_}bG?~_?{}b@^tAxl	Z4419019390	CC1(C)OCC(CCNC(=O)NC2=NC=C(C(F)(F)F)S2)CO1		0	2.6155	6	2	1
fmoq`@D]VCt\bbbbRbVrRTLRVeXsj}fmj`hbJjP`H`@@ !BpoACr@C^poA?pSsWpoACrDOH@M{]}pC^_|GB|LKpGqh@w`C^YVAgTw?~@hagKOvH?X`Bb@	Z6426485294	COC1=CC(C(=O)N2CCC(C3=CNC4=CN=CC=C34)CC2)=C(C)C=C1O		0	3.209	6	2	3
fkQb@E^xKXICHhheEUDedhmEDdVR]zZxHFJjjZ@`h`@@ !B@hc}b@C~_?xBb@JH?Xc}mpC~@h`@?ovH@h`BbOvH@h`Bb@C~?X`Bb@C~?X`Bb@Jw@hc}b@Jw@Ox	Z5298159746	COCC1=CC=CC=C1C=C(C)CN1CCN(C2=CC=C(F)C(C(=O)O)=C2)CC1		0	2.7137	5	1	1
fegQb@NZXyHHcHhihXlhhXhedebaZcgMSUULuT@P@@@ !B?g~[fzR[_?zdf?vw?Xa??`JH_?y??ovH?[\BbG?~?Xc}mw?~@ha??ovw?[]??g?~?[\	PV-004603618892	CC1=C(C(=O)N(C)CCN(C)C(=O)C2=C(Cl)CC2)CC2=CC=CC=C2O1		0	2.7445	5	0	2
fmoq`@DXB@u\bbbbdRRcbRTTlYjRl}KUjjjfBPZJjH@@ !BEDRiPAAU[rixmGbtec~VPOvw_?xPUQAUec|GmA@jlNwkVyY@edBIo|Kwo{XPJ`^to{ZIop	PV-007021839458	CC1=CC=CC(C2(N3CCC(=O)N(CC4=C(C(C)C)OC=N4)C3=O)CC2)=C1		0	3.4753	6	0	1
fmwhc@LZRtZb`BFRGICIEEiDXTiDTiheLT}D\zYjfjjiffj@@ !BXAiSFOx@FELlFEMgKA`XTvU`L[?PtaaSFELlFAaSTv\XTqaStMIN`AaS?g}`FfAeKF\ZX@	PV-008329109928	CC1=CSC(C(F)(F)C(=O)NCC2(C)CC(NC(=O)C3=NNC=C3C)C2)=N1		0	0.7649	7	3	3
fmwIc@JLeXs^`dDRFICHiBheMieDehdmAJSghzjifZjjjjj@@ !BcL_XcL^scL^LqpC^QY|j[v}UZFLGmAx@[uTGmOvH?[]??g?~?[_}m?vH_?y??ovHA{PGbp	PV-009866015042	CC1(C)OCC2(CCC(NC(=O)NC3=CC=NN3CC(F)(F)F)CC2)CO1		0	1.8982	7	2	3
fega``MJlxDPRPLDEdLbbbtJfTabRbrSNYjN\DASRpA@@@@@ !B@OxBb@Jw?X`@?`C~@k\Bb@JH?X`@?`JHbOvw@`JH@O{}b@JH@h`@?ovH?X`Bb@JH?X`	PV-005558206802	O=C(CC1=CC=CC(Cl)=C1F)NS(=O)(=O)C1=CC2=CC=CC=C2C(F)=C1		0	4.2856	4	1	3
fjmHP@DZLd@`qrJIQJISYJJDRoYZfjP`ZJ@@@ !B@k\@?ovw@hb?L]KO@hbYwrnDnrl@?ovHJxPBb@JHwydZX@C~?X`ka@	Z2028759954	COC(=O)CC1=C(C(=O)NCC2=NC=CC(N)=N2)C=CO1		0	-0.3833	8	2	1
fncIb@LYjvVc@BLdTRRTttfQTrIRkZejYjjijP@@ !B?g|_FaaSGvUSY}CRYQ}??hD@FEO}m?vHTv\XTrpX_?ySYw?~Fa}??f]SYQ|	Z5556023317	CCOC(=O)C1=CSC(NC(=O)C(C)(C)CC2=CN=NN2)=C1C		0	2.2741	7	2	3
fi{p``ARKjH@alavPGHYHihdbihdidmIpPTyKPDEL@QUTB@@ !Bf\A`YQ|ZaERYpKlkf\BDUKlkim}`Y[lkim|_Fklknro~_q|ZGvUSYvT_YQ}`YQ|Z	Z7707189453	CSC1=CC=NC=C1CNC(=O)C1=CC=C2N=C(C(F)(F)F)OC2=C1		0	2.7424	5	1	3
fmwHc@CQzoVPQ@iBTadTTRTUfbfrfRbSNAcM\AATuUSUKE@@@ !B@k_}mpC~@k]??`Jw@Oy??ox@@OxBb@Jw@O{}m?y?@Ox@?jR[AU|`^bAzHGjJDCcs@FDhW@	PV-008069420533	CN(C(=O)C1=CC=C(C(F)F)C(Cl)=C1)C1CN(C(=O)CCC2=CNC=N2)C1		0	2.6529	6	1	2
fcwqc@FFCjs`RBICDadTaRbRbbVVdTlR|E^zjjjVjj`HD@@ !BSk~?LXANSk}Notz?tLugT}CMYuNfwx`B{eOOth@qaBmgTpJwTq`lYv]S?[\@?`Jw_?xBmpC~	Z3320551915	CC1=CC=CC=C1C1=NN=C(CN(CCC(F)(F)F)CC(=O)OC(C)(C)C)O1		0	3.3901	6	0	3
fi{qb@LIsA@`AFRREQQKKRIKPiZlGOQkTCAEUuUE@@@ !BbOvw@ovw@ha??ovH@O{}bOvw@h`BbOvw@Ozw@hc}?[\BbK\B?[]xbyY@DBhPJiY@	Z4582205348	N#CC1(CC(=O)NS(=O)(=O)C2=CC=C(C3CCCCC3)C=C2)CNC1		0	2.3626	6	2	2
