Structure [idcode]	Molecule Name	_SMILES	_CXSMILES_Data	Stereo Centers	cLogP	H-Acceptors	H-Donors	Stereo Centers 2
fcqB@M^Jh@PeLjoOmZzrnJ\edj}tBDMUUUP@Q@@@ !BKA`lYvAeVTA`F`QTAEPXTue@LW}Pt`QTFELXT~Hpvql`QP[_Am|`QP[_Am|`Q]l[Am|Fw}l[	PV-006503831560	CC1=CC=C2SC=C(C(=O)NCC3(N)CCN(CC4=CC=CC=C4)CC3)C2=C1		0	3.174	4	2	7
fegIb@DXMyaZ`bLbbRbRVrTbaaTeNZLFL@QUUUTuTT@@ !B?X`BbG?~?Xc}b@JH_?y??`C~?Xc}bG?~?Xc}bF}UjTAxm@^tjS~cfYY@A{Rt^HlGA{P	PV-008738364749	COC1=NC(Cl)=NC2=C1CN(CC1(N(C)C(=O)OC(C)(C)C)CC1)CC2		0	2.5259	7	0	6
fbmPc@LB``@PfPsHYIHYleEhdmF\tXLUjjjjjjh@@ !Bm?rH?PJH?[\EHBAzHGhEHJRdfzRdiJRdm?rH?Ox@?`BH?KQxbw`	Z3530161535	CS(=O)(=O)N1CC(NC2CC3(CCC(F)(F)CC3)C2)C1		0	1.3781	4	1	10
fcXa@MAKu^uIADLdLbbRbJfTbJfbRRUNNCtZ}pAEMUTtmReP@@ !BJBMa_wBbJBLhHvE?\JIphgBbwbphHwBb\JJbCyuph`}`YXQTim}`Y[lkim~fw{lkTv_~_rqg	PV-008579256884	CC1(NC(=O)CC2=CC(F)=CC(Cl)=C2)CN(C(=O)C2=CN3C=NN=C3C=N2)C1		0	1.0242	8	1	1
ek`ZH@@DLIO@`LbbbTtRTRrrfJbRLBl|RJvNZjjZjifh@I`@@ !BUHQeXLBYUHS_iah_ussppfAeTv_^@Mx@?g~H@bqg|LJH?Xc}w`BH@oy?w`C^@M\||LK^@Mx@|LH	PV-006521295574	CC1=CC=CN2C(NC(=O)N(C)C3CCN(CCC4=CC=CC=C4)CC3)=CN=C12		0	3.3459	6	1	6
fewY`@DJMYvP]GdTTTRRTtrRqRfe[W`qSejfjVjejZi`@@ !BilB{UF@Zil@_YXPkilB{UKmTXAi`Fox@GvVH?Z[@GqiSFHQT`Dy??g?~_?{}bOvw_?x	Z5597902307	COC(=O)CCC1=CN=C2CN(C(=O)C3=CN4N=CN=C4C=C3)CCN12		0	0.2205	9	0	6
figib@BRcdj`iAHYEEDdeDmEMDUdpUhyKt\DDSRsTuQT@@ !B@h`@?ovH@k\Bb@JH@O{}bOvH@h`BmpJH@hb@L\wO@O{}bGRxim~DJpBAlAvLqsAR	PV-005613418321	O=C(NC1=CC2=C(C=C1F)N=CNC2=O)C1=C2OCCCCN2N=C1		0	1.5312	8	2	4
fi{qa@NRteoPQAIAIf^{]e[^vBtZNXHHiX@bfb@@@ !BShAgKMCRs|uN`Dz@YrsPtox@GvT_FeLX_?{}bOvw_?y??ovH?[\BbG?~?[_}bG?~	PV-006751975412	COC(=O)C1=CC=C(C2=CN(C3=CC=CC(Cl)=C3F)N=N2)C=C1OC		0	2.774	6	0	12
fcpP@JRzA@UyEDhdihleD]HhleZ|elu{Z`b@`XjfiB`@@ !B@hc}b@C~_?xBmpJH_?x@?ovH@OxBb@Jw@h`@?`C~@O{}b@Jw?XbH@k_}?XaN`MCM_Xc@ieRD	PV-009308729445	CCOC(=O)C1=NC2=CC=CC=C2C=C1NC(=O)CC1(C2=NOC=C2)CCC1		0	2.8785	7	1	15
fa{hb@D\DzkE@bLbbRbJfbbRbQUNAbgK^ttuLAAP@d@@@ !B?Xa??`JH?Xc}bG?~@h`Bb@C~@k\Bb@C~?X`Bb@Jw@hc}bGbKDBk}b@JH@hc}b@	PV-009895055615	O=C(NC1=NC(=O)NC(Cl)=C1)C1=CC2=CC=CN=C2N=C1C1CC1		0	2.0323	7	2	6
fcoq`@J^vAElbbVbbblrbRfbRpeYjo[UTsSUUHPE@@@ !BLXCOta`lYuLXKFAe?`@lFAh_XAigK@C~@k\Bb@JH@O{}b@JH@h`@?ovH@h`BmpJH@Ox@?`Jw	PV-009670435387	COC(=O)CN1C(C)=CC(C(=O)CN2CCC(C)=C(C3=CC=NC=C3)C2)=C1C		0	1.4351	6	0	10
fnsH`@DTBdA\bbTTRTRRbVUTztPiZ`@BBaj``@@ !Bnrnfwq|ZXFV{Jyg@im~DUA|ZGqi`YUMgXFVYpIg@?g~DUBqgaERYpAaSaEP	Z7589055804	COCC1=CC=NC(C(=O)NC2=CC(C)=CC3=C2C=NN3C)=C1		0	1.4139	6	1	2
fdi`Q@AXTFHIADadTrdQTrdT]zjjijih@@ !B@Jfi_pBiMC`tND\tNDltN@Bira|tNCPxRscp?OC}_zgJX@	Z3292739167	CC(C)(CNC(=O)CC1(C(=O)O)CC1)OC(F)F		0	0.3691	5	2	1
ek`ZL@@DEBam`HfbaHQHQHQHaHSH`\RLaDqQspKHi[YjBHjJjiiZJ`@@ !B?Xa??`JH?[\@?ovH?[\BbER{@hbH?[\B?[_}bLBYtMK}mxc}?[_}mwi_fyl`AXioNOP@Gb`cDHh	PV-008008101295	CN1C=NC(C(=O)N2CC(O)(C(C)(C)CNC(=O)C3=CN=CC4=C3CCC4)C2)=C1		0	1.1867	8	2	5
faspc@I^jUhIADabPrJPiQQI[QQJ[ZmfmTpPQSTsD@@ !B@O{~@IEK@OxBm?vw@k]??`C~?[_}mpJH_?xBb@C~?X`Bb@Jw@h`@?ovH?X`Bb@	Z3496094865	CN1C(CNC2=CC=CC=C2C=CC(F)(F)F)=CC(=O)N(C)C1=O		0	2.4443	5	1	15
figq`@DJlCh|bbbbRbVRRadLeXwdyjuj`jBbjjZJ@@ !B_?{}bOvw_?xBb@Jw_?{}bOvH@O{}m?vw@h`Bmw?~_?{}bGbKDBixm@^t[uViPAAU	Z6681071151	CC1=CC=C(NC2CC2)C(C(=O)N2CCN(C3(C(=O)O)CC3)CC2)=C1		0	0.5888	6	2	3
fleQb@JRIkpIAIf]unYV\bfB@jYjh`@@ !B@OxBmpJH?[\@?`C~@h`Bb@JH?Xa??`JH?X`@?`JH_?xBb@C~	Z6118960625	CC1=C(C(=O)NCC2=CN=C(O)C(F)=C2)CCCO1		0	0.9309	5	2	5
figiB@EFRwk`XfQQQJKRiSQISJLEIVRm{@@@ULttlE@@@ !B?[]??`Jw?[_}bOvw_?xBmw?~?Xc}m?vw@k\@?ovw@k]??ovw?[]??ah_YQ}gTvAe	PV-007244979152	CC1=NN=C2C=CC(C(=O)NCC3=NC=CC4=C(Br)C=CC=C34)=CN12		0	2.2748	6	1	10
fakhc@EArUmC@dDRFICHiCDhTihdehepTTm{USUS@ATjP@@ !BwzYjxIg_wzZ{J|wPmpJ?LPJH@hc}bG?~@hc}b@C~@h`Bb@C~@OxlFBqgXFU`F`	PV-007126753217	O=C(NCC1=C(C(F)(F)F)OC=C1)C1=CN=CC(N2C=CN=N2)=C1		0	0.367	7	1	6
fasQP@CY@cR^iMrlmSKoIUzt@QMUSUQ@@@ !B_?{}m?vH@ha??ovH?X`BbG?~_?x|x_vH_?xBbGbK[rixmLECDBjiPJe@^Hmxm@	PV-006753557543	CCC1=CC(C(=O)O)=CC(C(=O)NC2(C(=O)NC)CCOCC2)=C1		0	0.7101	7	3	7
fns`a@ER\CDPDYEDhTihmLeDdRakU[SUSUUP@L@@@ !BWB`@GkTP^b@x}E}zWwi_^in[ARBw@`JH@hbw@`JH@h`BbOvH@OxBb@JH@Ox	PV-006953779615	O=C(CCC1=C(Br)SC=C1)N1CC(O)(CCC2=CC=CC=C2)C1		0	4.3229	3	1	3
ffshB@J\L{pICHheeDhhd]DdRbcN|VluPAEL@DP@@ !Bs}Jw?Yg@nuR?SovH_?xBbOvH?Xc@i`JH_?yTaDz@f\@_FhQTf\BYpHQT	PV-002744681517	CC1=NC(N2CC=C(F)C2)=C2C=NN(C3=CC=CC=C3)C2=N1		0	1.8667	5	0	2
fleP``LIUh@PrPyHBdLdTVdUfTVbqQwjYjfjjz@@ !BXAiSFOx@FELlFAaSKAaSYvU`wzYTaFU`XAieXFU`YVA`FfU`	Z3540078737	CC1(C#N)CC(OC(=O)C2=CSC(C(F)(F)F)=N2)C1		0	2.0231	4	0	7
fcoIb@JBtgci`BLdTVtrRbabbbvTVJEZo]LsUTpDQSTP@@ !Bs\~{UK}N@k^w?PJw?[\@?`Jw@k\BmpC~?[\Bb@Jw?[\@?`Jw_?xBmpJH@Ox@?`Jw@h`BmpC~	PV-009004040039	CC1=NC2=C(C(=O)CCC2)C(C)=C1C(=O)N(C)CCNC(=O)CC1=CN=CS1		0	1.5572	7	1	2
ffcPP@AZ@aQTfUo[YV~IS``qZjjZ@Bfh@@ !BYrs~@A}eGqiSFJIpCzHOhfU`UHS_ifU`UHS_ifU`YVC_ieRDYVATaM~f	Z4194664329	CC(=O)C1=CC=C(NC(=O)N2CC3(CCC(=O)O3)C2)C=C1C		0	1.3062	6	1	7
fjm`P`GPPJP@aLafPKHYIH]EBeDdmHRg`kUST@EU@@@ !B?[^w@`JHbOvH?PJHbOvMT@C~@h`BbOvH@OxBb@JH@Ox@?`C~?g?~@@	Z3574436983	CC1(C(=O)OCC2=CN=CC(C(F)(F)F)=C2)CS(=O)(=O)C1		0	0.5359	5	0	8
fbmQB@NJdBPRYuVvYVpPLTyjjihBBhdPaH@ !B?`@@?ox@?`@@?`C~@OxBbCRQ_X`Bb@C~_X`Bb@Jw@ha}bGbKDBh	Z3609770496	O=C(NCC[C@H]1C[C@H](F)C1)NC1=CC=CC=C1C1CC1		0	3.5729	3	2	13
fewHR@LDiOUlc@DYHhhdUdihdideBTxII^sifjjX@biiH@@ !B{qWLiq}Zog|SypB~D~_oEW~AIQ|eG}?YjtPeGyP{w}deGrT_NGO_v_y?[X}G\w?~Dh|	Z5226387888	CC1=NN2C(COC(=O)C3=CC=C4C(=O)NCCOC4=C3)=C(C)N=C2S1		0	1.2557	8	1	15
fjmQa@BFEkHLQTadTTRTRblvbSIYKAAQMUMI@@@ !B?[]??`Jw?Xc}m?vw_?y??`Jw@k_}m?vH?[\BbG?~@hb@SlwPilBDU@	PV-009260009956	COC1=CC(F)=CC(Br)=C1NC(=O)N(C)CC1=COC=C1		0	2.6676	5	1	9
